n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,Anno
149,Brando Rocco,Olimpo Basket Alba,A/C,26,10,"2,60",80.0
150,Amodio Alessandro,ASD Basket Club Trecate,G/A,25,12,"2,08",87.0
151,Ferraris Giovanni,PGS Don Bosco Crocetta,G/A,23,16,"1,44",95.0
152,Parodi Mattia,ASD Basket Club Serravalle,P,22,18,"1,22",95.0
153,Cappello Davide,Olimpo Basket Alba,C,21,10,"2,10",96.0
154,Maglio Andrea,US Dil. Basket Rosmini,G/A,18,13,"1,38",94.0
155,Neri Matteo,Pall. Moncalieri S. Mauro,,16,8,"2,00",
156,Giuggia Sanuele,Basket Team 71,,16,10,"1,60",
157,Rinaldi,Basket Follo A. Dil.,,14,1,"14,00",
158,Fassio Gianluca,Olimpo Basket Alba,,14,11,"1,27",
159,Steffanini Lorenzo,Basket Follo A. Dil.,G,14,11,"1,27",97.0
160,Garavaglia Samuele,ASD Basket Club Trecate,A,14,17,"0,82",95.0
161,Tomatis Federico,Pall. Moncalieri S. Mauro,,13,12,"1,08",
162,Marletta Gabriele,AS Dil. Cestistica Biella,,10,3,"3,33",
163,Conte Tommaso,Pall. Moncalieri S. Mauro,,10,5,"2,00",
164,Bottero Alessandro,Basket Team 71,,10,8,"1,25",
165,Scarpa Gabriele,Basket Follo A. Dil.,G,9,6,"1,50",95.0
166,Giachi Simone,Spezia Basket  Club A.Dil.,G/A,8,4,"2,00",84.0
167,Giorgi Emanuele,Basket Pool 2000 Asd,,8,8,"1,00",
168,Cepollina Matteo,ASD Basket Club Serravalle,G,6,3,"2,00",94.0
169,Diakhate Badara,Spezia Basket  Club A.Dil.,C,6,7,"0,86",94.0
170,Mucuta Alin,Olimpo Basket Alba,G,6,8,"0,75",96.0
171,Bianchi Andrea,Pall. Moncalieri S. Mauro,A,6,13,"0,46",96.0
172,Cappello Davide,Olimpo Basket Alba,A/C,5,3,"1,67",
173,Gatti Roberto,AS Dil. Il Canestro,A/C,4,3,"1,33",96.0
174,Pieroni Riccardo,AS Dil. Il Canestro,G/A,4,4,"1,00",96.0
175,Nebbia Colomba Emanuele,Spezia Basket  Club A.Dil.,A/C,4,4,"1,00",95.0
176,Manzini Gianluca,Spezia Basket  Club A.Dil.,G,4,6,"0,67",95.0
177,Bucci Marco,Spezia Basket  Club A.Dil.,G,4,12,"0,33",94.0
178,Comollo Flavio,Pall. Moncalieri S. Mauro,,3,4,"0,75",
179,Gallo Andrea,Amatori Basket Savigliano,G/A,3,8,"0,38",97.0
180,De Bernardi Gabriele Maria,Basket Follo A. Dil.,,2,1,"2,00",
181,Vallefuoco Stefano,Basket Pool 2000 Asd,,2,1,"2,00",
182,Pasqualin Samuele,PGS Don Bosco Crocetta,G,2,1,"2,00",98.0
183,Pozzi Alessandro,PGS Don Bosco Crocetta,,2,1,"2,00",
184,D'Imporzano Federico,Basket Follo A. Dil.,G/A,2,2,"1,00",97.0
185,Leqejza Xhovano,ASD Basket Club Trecate,,2,3,"0,67",
186,Appendino Marco,Amatori Basket Savigliano,G/A,2,5,"0,40",96.0
187,Pedrelli Giacomo,Spezia Basket  Club A.Dil.,G,1,1,"1,00",96.0
