n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,Anno
50,Bessi Federico,Nelson Somma Lombardo,P,194,27,"7,19",95.0
51,Ferretti Francesco,Campus Varese,P,190,26,"7,31",
52,Gianoli Dante,ASD Montello,P,189,19,"9,95",91.0
53,Bigoni Jacopo,US Marnatese BK,,188,19,"9,89",
54,Grazi Alessandro,Orma Malnate,P,188,27,"6,96",
55,Colombo Garroni Riccardo,Orma Malnate,,186,23,"8,09",
56,Crosignani Pietro,Basket Legnano 91,,185,18,"10,28",
57,Nava Alessandro,ASD Montello,A,185,25,"7,40",91.0
58,Pehar Marin,Pall. Castronno,A/C,180,14,"12,86",90.0
59,Franzini Andrea,US Marnatese BK,A,179,13,"13,77",86.0
60,Tesone Mario,Nelson Somma Lombardo,G,178,27,"6,59",88.0
61,Mandelli,Ardens Sedriano,,177,12,"14,75",93.0
62,Montagner Giacomo,BC Arlunese,A/C,174,26,"6,69",96.0
63,Corti Claudio,Pol. Daverio,,168,21,"8,00",74.0
64,Barbieri Roberto ,Pall. Castronno,P,165,22,"7,50",87.0
65,Mazzoni Maicol,Basket Venegono,A,159,21,"7,57",87.0
66,Innocenti Silvio,Campus Varese,A,152,16,"9,50",96.0
67,Delfi Fabio,Basket Legnano 91,,149,18,"8,28",
68,Parini Marco,Baskettiamo Vittuone,G,149,19,"7,84",
69,Pizzi Marco,Virtus Olona,C,149,25,"5,96",90.0
70,Margella D.,Pall. Busto Arsizio,,148,25,"5,92",
71,Banfi Jacopo,BK School Corbetta,G,146,18,"8,11",92.0
72,Conti Luca,Basket Legnano 91,,144,19,"7,58",
73,Grittini Matteo,Basket Legnano 91,,143,15,"9,53",
74,Giuffrè Simone,BK School Corbetta,A,142,19,"7,47",93.0
75,Porrini Daniele,Campus Varese,,140,21,"6,67",97.0
76,Tenconi Fabio,Pol. Daverio,C,139,27,"5,15",87.0
77,Assui Sophony,Campus Varese,C,136,22,"6,18",95.0
78,Remonti Paolo,Pall. Castronno,G,135,7,"19,29",74.0
79,Fall S.,Pall. Busto Arsizio,,135,25,"5,40",
80,Garavaglia Edoardo,Basket Legnano 91,,133,20,"6,65",
81,Calloni Matteo,Virtus Olona,A/C,133,23,"5,78",90.0
82,Villa Filippo,Basket Legnano 91,,133,23,"5,78",
83,D'Andria Michele,Orma Malnate,A,131,26,"5,04",
84,Pagliuca Marco,Nelson Somma Lombardo,G,128,26,"4,92",86.0
85,Grassi Filippo,US Marnatese BK,,127,24,"5,29",
86,Ferrari Davide,Ardens Sedriano,P,126,11,"11,45",88.0
87,Croci Jacopo,Pol. Daverio,A,126,26,"4,85",86.0
88,Quartieri A.,Pall. Busto Arsizio,,125,23,"5,43",
89,Perron Niccolò,US Marnatese BK,P,124,28,"4,43",94.0
90,Zingaro Simone,Basket Venegono,P/G,120,19,"6,32",93.0
91,Vitali Sebastiano,Basket Legnano 91,,118,13,"9,08",
92,Garavaglia Francesco,Basket Legnano 91,,117,20,"5,85",
93,Molteni M.,Pall. Busto Arsizio,,114,25,"4,56",
94,Tubere Sebastiano ,Nelson Somma Lombardo,A,111,27,"4,11",92.0
95,Pavesi Emanuele ,US Marnatese BK,A/C,106,27,"3,93",84.0
96,Parini Davide,BK School Corbetta,P/G,105,23,"4,57",92.0
97,Comincini Luca,Baskettiamo Vittuone,A/C,104,22,"4,73",
98,Carnevale Mattia,BK School Corbetta,A,101,20,"5,05",96.0
99,Malazzi Andrea,Baskettiamo Vittuone,A,101,22,"4,59",
100,Angelucci Luca,ASD Montello,G,100,17,"5,88",91.0
101,Conti Nicolò,Pol. Daverio,A,99,15,"6,60",86.0
102,Balsamello Carlo,US Marnatese BK,,96,27,"3,56",
103,Canavesi Luca,Virtus Olona,P,96,27,"3,56",95.0
104,Vignati Alessandro,BC Arlunese,G,95,21,"4,52",87.0
105,Batanov Alessandro,ASD Montello,G,93,11,"8,45",89.0
106,Vignati Riccardo,Basket Legnano 91,,92,22,"4,18",
107,Corazza Fabio,Ardens Sedriano,G,90,11,"8,18",94.0
108,Milani,Ardens Sedriano,,89,13,"6,85",
109,Zhao,ASD Montello,,88,11,"8,00",
110,Monguzzi Gianluca,Basket Legnano 91,,88,17,"5,18",
111,Vanoni,Campus Varese,,88,25,"3,52",
112,Ivone,Pall. Castronno,,86,19,"4,53",
113,Ragazzo Lorenzo,Basket Venegono,C,85,16,"5,31",91.0
114,Nachev Tsvenomir ,Ardens Sedriano,C,84,9,"9,33",80.0
115,Olgiati Vittorio,BC Arlunese,A,84,28,"3,00",94.0
116,Penati Lorenzo,Basket Legnano 91,,83,11,"7,55",
117,Ghiringhelli Stefano,Pall. Castronno,A,80,7,"11,43",90.0
118,Dal Sasso Michele,ASD Montello,A,78,15,"5,20",83.0
119,Castiglioni J.,Pall. Busto Arsizio,,76,24,"3,17",
120,Mauri,Ardens Sedriano,,75,8,"9,38",
121,Mongardi,Basket Venegono,,74,8,"9,25",
122,Rossi E.,Pall. Busto Arsizio,,74,25,"2,96",
123,Costantini Francesco,Basket Legnano 91,,70,13,"5,38",
124,Liparoti Tobia,Basket Venegono,P/G,69,13,"5,31",89.0
125,De Vita Andrea,ASD Montello,A,67,27,"2,48",95.0
126,Pomarico Davide,BC Arlunese,A,66,25,"2,64",97.0
127,Molgora Davide,Baskettiamo Vittuone,P,65,19,"3,42",
128,Chiaia Marco,Baskettiamo Vittuone,G/A,63,9,"7,00",
129,Colombo Luca,Virtus Olona,A,63,26,"2,42",82.0
130,Tagliabue Luca,Basket Legnano 91,,62,21,"2,95",
131,Ragazzo Matteo,Orma Malnate,G,61,12,"5,08",
132,Calcagno Marco,Pall. Castronno,C,59,8,"7,38",83.0
133,Frontuto Daniele,BC Arlunese,G,58,9,"6,44",89.0
134,Oldani Fabio,Baskettiamo Vittuone,C,58,24,"2,42",
135,Borghi Giorgio,Pall. Castronno,G/A,56,9,"6,22",78.0
136,Gasparini Simone,Orma Malnate,,56,23,"2,43",
137,Musazzi Amedeo,Ardens Sedriano,,54,6,"9,00",
138,Riccio,Orma Malnate,,52,11,"4,73",
139,Usuelli Luca,ASD Montello,C,52,22,"2,36",77.0
140,Lanzani,Basket Venegono,,51,7,"7,29",
141,Nardella Luca,BK School Corbetta,G,51,14,"3,64",97.0
142,Businelli David,US Marnatese BK,,51,18,"2,83",
143,Pianta Matteo,BK School Corbetta,P/G,49,12,"4,08",86.0
144,Moretti Edoardo,Campus Varese,A,49,15,"3,27",98.0
145,Grassi M.,Ardens Sedriano,,47,9,"5,22",
146,Porrati Riccardo,Baskettiamo Vittuone,A/C,46,13,"3,54",
147,Bertulio Daniele,BC Arlunese,A,46,25,"1,84",94.0
148,Ferrario A.,Pall. Busto Arsizio,,45,17,"2,65",
149,Rossi Marco,Basket Venegono,G/A,44,8,"5,50",93.0
150,Zampatti,ASD Montello,,43,8,"5,38",
151,Sali Marco,ASD Montello,G,39,8,"4,88",92.0
152,Ghisi Paolo,ASD Montello,P,39,27,"1,44",75.0
153,Marzorati,Basket Venegono,,38,6,"6,33",
154,Moalli,Campus Varese,,37,4,"9,25",
155,Zanasca Elia,Campus Varese,P/G,37,8,"4,63",98.0
156,Schiavoni Gabriele,Basket Venegono,G,37,9,"4,11",97.0
157,Restelli Nicolò,Baskettiamo Vittuone,P/G,37,19,"1,95",
158,Beri Federico,Pol. Daverio,,37,22,"1,68",97.0
159,Grassi Davide,Ardens Sedriano,G,36,10,"3,60",94.0
160,Brignoli Marco,Virtus Olona,G,36,28,"1,29",95.0
161,Mentasti,ASD Montello,,35,6,"5,83",
162,Cattaneo Emanuele ,Pall. Castronno,G,34,20,"1,70",88.0
163,Pol,Campus Varese,,34,24,"1,42",
164,Zocchi M.,Pall. Busto Arsizio,,33,5,"6,60",
165,Martegani Federico ,Basket Venegono,P/G,33,18,"1,83",91.0
166,Caproni Lorenzo,Pall. Castronno,P/G,32,22,"1,45",95.0
167,Puglisi,Ardens Sedriano,,31,4,"7,75",
168,Castiglioni Stefano ,Pol. Daverio,P,31,16,"1,94",94.0
169,Tannoia Emanuele,Baskettiamo Vittuone,G,30,3,"10,00",
170,Saracino Mirko,Basket Venegono,A,30,6,"5,00",89.0
171,Bellotto,ASD Montello,,30,12,"2,50",
172,Manca Matteo,Baskettiamo Vittuone,C,30,16,"1,88",
173,Piccoli Matteo,Campus Varese,,29,2,"14,50",95.0
174,Bertuzzi,Pall. Busto Arsizio,,29,11,"2,64",
175,Caroli Fabio,US Marnatese BK,A,28,3,"9,33",94.0
176,Zanzi Gianmarco ,Pall. Castronno,G,28,10,"2,80",89.0
177,Ferraro Salvatore,Basket Venegono,A/C,28,13,"2,15",88.0
178,Premazzi Paolo,Basket Venegono,A,28,14,"2,00",95.0
179,Mazza G.,Pall. Busto Arsizio,,27,5,"5,40",
180,Cortellari Marco,Orma Malnate,,27,9,"3,00",
181,Didonè,ASD Montello,,27,11,"2,45",
182,Ramazzina,Pall. Busto Arsizio,,25,8,"3,13",
183,Chiapparo A.,Nelson Somma Lombardo,,24,15,"1,60",
184,Cavalli,Nelson Somma Lombardo,,24,21,"1,14",
185,Prada Alessandro,BC Arlunese,P/G,24,22,"1,09",95.0
186,Pagani Giordano,Campus Varese,C,23,2,"11,50",
187,Ortega,ASD Montello,,23,6,"3,83",
188,Trentini,Campus Varese,,21,8,"2,63",
189,Ferrantelli Riccardo ,Ardens Sedriano,A,21,10,"2,10",91.0
190,Moretti L.,Campus Varese,,21,11,"1,91",
191,Catturini,Ardens Sedriano,,20,9,"2,22",
192,Crespi,Nelson Somma Lombardo,,20,15,"1,33",
193,Morlacchi Riccardo,Baskettiamo Vittuone,A,20,20,"1,00",
194,Bianchi Stefano,Basket Venegono,G,19,7,"2,71",97.0
195,Monticelli,Basket Legnano 91,,19,7,"2,71",
196,Moscatelli Luca,BK School Corbetta,A,18,10,"1,80",89.0
197,Cremonese Gioele,Orma Malnate,G/A,18,18,"1,00",95.0
198,Chiapparo Federico ,Nelson Somma Lombardo,A,17,9,"1,89",93.0
199,Colombo L.,Pall. Castronno,,17,14,"1,21",
200,Raimondi Giacomo,US Marnatese BK,,17,21,"0,81",
201,Ghezzi,Pall. Castronno,,16,4,"4,00",
202,Garegnani Marco,BK School Corbetta,C,16,5,"3,20",75.0
203,Badalotti D.,Pall. Busto Arsizio,,16,11,"1,45",
204,Cattaneo Simone ,Pall. Castronno,G,16,19,"0,84",94.0
205,Giorgetti,Pall. Busto Arsizio,,15,5,"3,00",
206,Macchi,Campus Varese,,15,6,"2,50",
207,Baroni,Ardens Sedriano,,14,5,"2,80",
208,Forin Alessandro,BK School Corbetta,P/G,14,6,"2,33",97.0
209,Brumana,Pol. Daverio,,14,7,"2,00",
210,Ferrario Luca,Pol. Daverio,,14,15,"0,93",96.0
211,Bakayou,Orma Malnate,,13,3,"4,33",
212,Brega Marco,ASD Montello,P,13,6,"2,17",95.0
213,Galli L.,Nelson Somma Lombardo,,13,12,"1,08",
214,Fugazzotto Yuri,BC Arlunese,P,12,9,"1,33",97.0
215,Ciavarella,US Marnatese BK,,12,10,"1,20",
216,Pecorin Andrea,Ardens Sedriano,A,12,12,"1,00",94.0
217,Ciapponi,Virtus Olona,,12,12,"1,00",
218,Viterbo L.,Pall. Busto Arsizio,,12,20,"0,60",
219,Volpini,Pall. Busto Arsizio,,11,1,"11,00",
220,Rossi Nicolò,Basket Venegono,G,10,2,"5,00",93.0
221,Carlino,Ardens Sedriano,,10,5,"2,00",
222,Buzzi Simone,Orma Malnate,,10,17,"0,59",
223,Figini Francesco,Pall. Castronno,C,9,5,"1,80",77.0
224,Dejace Michel,Campus Varese,A,8,1,"8,00",95.0
225,Campiotti D.,ASD Montello,,8,3,"2,67",
226,Duroti Jodi,Pol. Daverio,,8,5,"1,60",96.0
227,Fusarpoli Nicholas,BC Arlunese,C,8,10,"0,80",98.0
228,Chiodini Luca,Baskettiamo Vittuone,A,7,1,"7,00",
229,Cannata Davide,Basket Legnano 91,,7,3,"2,33",
230,Caldario,Campus Varese,,7,4,"1,75",
231,Fratin Matteo,Basket Venegono,C,7,5,"1,40",95.0
232,Castiglioni R.,Pall. Busto Arsizio,,7,9,"0,78",
233,Settimo Massimiliano,Pall. Castronno,P/G,6,2,"3,00",77.0
234,Vitelli Marco,Baskettiamo Vittuone,G,6,2,"3,00",
235,De Franco,BK School Corbetta,,6,2,"3,00",
236,Campiotti Matteo,ASD Montello,G,6,3,"2,00",85.0
237,Martignoni,Pol. Daverio,,6,3,"2,00",
238,Gussoni,US Marnatese BK,,6,4,"1,50",
239,Losa Lorenzo,BC Arlunese,P/G,6,13,"0,46",89.0
240,Vigliani,Ardens Sedriano,,5,1,"5,00",
241,Basciu,Baskettiamo Vittuone,,5,2,"2,50",
242,Castiglioni Luca,BK School Corbetta,P/G,5,3,"1,67",97.0
243,Gandini,US Marnatese BK,,5,3,"1,67",
244,Vivarelli Riccardo,US Marnatese BK,P,5,6,"0,83",
245,Accoto,US Marnatese BK,,5,10,"0,50",
246,Gualco Michele,Campus Varese,,4,1,"4,00",95.0
247,Zambon,Pall. Busto Arsizio,,4,1,"4,00",
248,Di Muraglia  Andrea,Ardens Sedriano,A/C,4,2,"2,00",92.0
249,Porta Simone ,Baskettiamo Vittuone,P,4,3,"1,33",
250,Balzaretti,Campus Varese,,4,3,"1,33",
251,Cervello Lorenzo,Basket Legnano 91,,3,1,"3,00",
252,Modesti,Campus Varese,,3,2,"1,50",
253,Padovani,Nelson Somma Lombardo,,3,4,"0,75",
254,Donghi,Ardens Sedriano,,3,9,"0,33",
255,Frattini Mattia ,Orma Malnate,P/G,3,17,"0,18",96.0
256,Lombardi,ASD Montello,,2,1,"2,00",
257,Armocida,Campus Varese,,2,1,"2,00",
258,Masocco,Baskettiamo Vittuone,,2,1,"2,00",
259,Portatavino,Pall. Busto Arsizio,,2,1,"2,00",
260,Famulari A.,Pall. Busto Arsizio,,2,2,"1,00",
261,Galli M.,Nelson Somma Lombardo,,2,2,"1,00",
262,Clerici,Basket Venegono,,2,3,"0,67",
263,Guadagnin Andrea,Basket Venegono,P/G,2,3,"0,67",95.0
264,Rossi Andrea,US Marnatese BK,P,2,3,"0,67",91.0
265,Canegallo,Orma Malnate,,2,3,"0,67",
266,Papadopulos,Campus Varese,,2,5,"0,40",
267,Baroni Stefano,Orma Malnate,G,2,6,"0,33",95.0
268,Reverberi  Paolo,BK School Corbetta,C,1,1,"1,00",75.0
269,Podgornik Andrea,Baskettiamo Vittuone,P,1,3,"0,33",
270,Aspesani,US Marnatese BK,,1,5,"0,20",
