n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,Anno
144,Casati Paolo,Giardino LVS Basket Orsenigo,A,58,27,"2,15",94.0
145,Susan Martino,ABC Pall. Lomazzo,A/C,57,8,"7,13",86.0
146,Tocalli Federico ,AS Dil. Morbegno,G,57,12,"4,75",79.0
147,Perillo Andrea,Centro BK Pescate,G,57,13,"4,38",84.0
148,Giorgetta Davide,Basket Club Tirano,,57,22,"2,59",93.0
149,Ciarini Luca,Rhinos Robbiate,A,56,18,"3,11",90.0
150,Dal Molin Gregorio,Sportiva Sondrio,G,56,26,"2,15",97.0
151,Giudes Fabio,Basket Club Tirano,A,55,13,"4,23",83.0
152,Piras Marco,Pol. Ars Rovagnate,,54,24,"2,25",
153,Rebughini,Rhinos Robbiate,,51,12,"4,25",
154,Vismara Marco,S.Ambrogio Mariano,C,50,16,"3,13",83.0
155,Riccioli Filippo,Pall. Como,P,48,14,"3,43",94.0
156,Rovelli Andrea,Pall. Como,P,48,15,"3,20",96.0
157,Sangalli Francesco,Virtus Meda,A,47,28,"1,68",95.0
158,Rossi Stefano,ABC Pall. Lomazzo,P/G,46,14,"3,29",85.0
159,Carenini Stefano,Pol. Mandello Lario,A/C,46,16,"2,88",90.0
160,Attisani Ugo,Basket Club Tirano,P,46,18,"2,56",89.0
161,Barni Dario,Giardino LVS Basket Orsenigo,C,46,20,"2,30",93.0
162,Molteni Mauro,Polisportiva Senna,P/G,45,7,"6,43",88.0
163,Mariani Massimo ,Casa Gioventù Erba,A,44,15,"2,93",79.0
164,Mazzoleni,Virtus Meda,A,43,6,"7,17",98.0
165,Auronzi Alessandro,ABC Pall. Lomazzo,A/C,41,24,"1,71",94.0
166,Campeggi Giacomo ,Basket Tavernerio,C,40,3,"13,33",91.0
167,Arosio A.,Pall. Figino,,40,18,"2,22",
168,Cagliani Loris,Pol. Ars Rovagnate,,40,27,"1,48",94.0
169,Sala Marco,Pol. Ars Rovagnate,,39,12,"3,25",98.0
170,Galli Marco,Giardino LVS Basket Orsenigo,G,38,8,"4,75",88.0
171,Zucchi Alan,Pol. Mandello Lario,C,37,7,"5,29",94.0
172,Molteni Giorgio ,Basket Tavernerio,G,36,5,"7,20",88.0
173,Danelli Lorenzo,Rhinos Robbiate,,36,22,"1,64",
174,Aralla,Pol. Ars Rovagnate,,34,7,"4,86",
175,Ruggia Alessandro ,Polisportiva Senna,C,34,10,"3,40",95.0
176,Pogliagi A.,Pol. Mandello Lario,,34,11,"3,09",
177,Ripamonti Luca,Rhinos Robbiate,,34,22,"1,55",
178,Bogani Stefano,ABC Pall. Lomazzo,A/C,33,10,"3,30",85.0
179,Villa F.,Pall. Como,,33,13,"2,54",
180,Lacarbonara G.,Polisportiva Senna,,32,6,"5,33",
181,Leone F.,Pall. Como,,32,15,"2,13",
182,Patriarca Stefano ,Sportiva Sondrio,G,31,25,"1,24",93.0
183,Colzani L.,Polisportiva Senna,,28,3,"9,33",
184,Felice Civitillo Matteo,Giardino LVS Basket Orsenigo,A,28,5,"5,60",93.0
185,Marchetti Luca,Sportiva Sondrio,C,27,23,"1,17",87.0
186,Ciubotaru Artemie ,S.Ambrogio Mariano,C,26,21,"1,24",95.0
187,Montanelli Stefano,Pol. Ars Rovagnate,,25,21,"1,19",
188,Zorzan Jacopo,Rhinos Robbiate,G,22,8,"2,75",89.0
189,Brenna Gionata,Basket Tavernerio,,22,16,"1,38",
190,Carenini Luca,Pol. Mandello Lario,A,22,16,"1,38",93.0
191,Minotti Lorenzo,Pall. Figino,A/C,21,21,"1,00",95.0
192,Fazio Nicola,Pol. Mandello Lario,A,21,25,"0,84",73.0
193,Orsi,Virtus Meda,,20,2,"10,00",
194,Ronconi G. ,AS Dil. Morbegno,,19,2,"9,50",
195,Caruso Riccardo,ABC Pall. Lomazzo,P/G,19,12,"1,58",94.0
196,Colombo Alessandro,Casa Gioventù Erba,,18,9,"2,00",98.0
197,Tarabini Nicola ,AS Dil. Morbegno,A,17,18,"0,94",96.0
198,Nourou Hamza,Pall. Figino,A/C,15,14,"1,07",96.0
199,Cornago Marco,AS Dil. Morbegno,G,15,18,"0,83",94.0
200,Zucchi,Centro BK Pescate,,14,5,"2,80",
201,Cagliani Eric,Pol. Ars Rovagnate,,14,13,"1,08",
202,Colzani,Sportiva Sondrio,,14,23,"0,61",
203,Boghi Matteo,S.Ambrogio Mariano,C,13,6,"2,17",89.0
204,Tosetti D.,Pall. Como,,13,7,"1,86",
205,Moscatelli S.,Pall. Figino,,12,2,"6,00",
206,Melzi A.,Giardino LVS Basket Orsenigo,,12,2,"6,00",
207,D'Apolito Andrea,Virtus Meda,A,12,5,"2,40",98.0
208,Bernardi L.,Pall. Figino,,11,2,"5,50",
209,Ceruti A.,Pall. Como,,11,4,"2,75",
210,Triulzi N.,Pall. Como,,11,6,"1,83",
211,Folini Luca,Sportiva Sondrio,C,11,9,"1,22",97.0
212,Pizzo,Virtus Meda,,10,2,"5,00",
213,Frigerio Marco,Casa Gioventù Erba,,10,14,"0,71",95.0
214,Marinoni Luca,Rhinos Robbiate,G/A,10,20,"0,50",96.0
215,Triulzi C.,Pall. Como,,9,4,"2,25",
216,Nasatti Paolo,Centro BK Pescate,,9,4,"2,25",96.0
217,Galli Daniele,Casa Gioventù Erba,,9,5,"1,80",
218,Stefanelli,Sportiva Sondrio,,8,3,"2,67",
219,Deandrea Christian,Basket Tavernerio,,8,4,"2,00",
220,Colombo Giona,S.Ambrogio Mariano,A,8,5,"1,60",87.0
221,Molteni Matteo,AS Dil. Morbegno,P,8,13,"0,62",95.0
222,Meroni,Pall. Figino,,7,3,"2,33",
223,Pavanetto Silvio,Pall. Figino,,7,4,"1,75",94.0
224,Goretti Fabio,Casa Gioventù Erba,,7,7,"1,00",95.0
225,Gnecchi Luca,Centro BK Pescate,A/C,7,9,"0,78",92.0
226,Bianchi Davide,Basket Tavernerio,,7,15,"0,47",
227,Civati,Centro BK Pescate,,6,1,"6,00",
228,Benedini,Virtus Meda,,6,1,"6,00",
229,Meda,Virtus Meda,,6,1,"6,00",
230,Fusato Joele,Pol. Ars Rovagnate,,6,3,"2,00",
231,Munarini Ivan,Sportiva Sondrio,P,6,4,"1,50",74.0
232,Ranzoni M.,Pol. Ars Rovagnate,,6,12,"0,50",
233,Riccioli R.,Pall. Como,,5,2,"2,50",
234,Colombo Stefano,Pol. Ars Rovagnate,,5,3,"1,67",
235,Casati Carlo,Rhinos Robbiate,,5,9,"0,56",
236,Vallini Mario,Centro BK Pescate,G,5,12,"0,42",96.0
237,Gerosa Mattia,S.Ambrogio Mariano,A,5,12,"0,42",95.0
238,Ferrari Daniel,Basket Club Tirano,A,4,1,"4,00",89.0
239,Rigamonti A.,Casa Gioventù Erba,,4,1,"4,00",
240,Gottari,AS Dil. Morbegno,,4,2,"2,00",
241,Romano,Casa Gioventù Erba,,4,3,"1,33",
242,Quargnal M.,Polisportiva Senna,,4,5,"0,80",
243,Marinoni A,Polisportiva Senna,,4,5,"0,80",
244,Baruffaldi Mattia,Basket Club Tirano,,4,12,"0,33",
245,Russo,Pol. Ars Rovagnate,,4,17,"0,24",
246,Albertini Leonardo,Pol. Ars Rovagnate,,4,18,"0,22",
247,Della Francesca,Polisportiva Senna,,3,1,"3,00",
248,Andolina,Virtus Meda,,3,1,"3,00",
249,Braghetto,Virtus Meda,,3,1,"3,00",
250,Mariani,Virtus Meda,,3,2,"1,50",
251,Azzola Niccolò,Pall. Como,A,3,2,"1,50",96.0
252,Bertini,Sportiva Sondrio,,3,2,"1,50",
253,Imperiali T.,Pall. Como,,3,2,"1,50",
254,Spinelli Pier,Rhinos Robbiate,G,3,8,"0,38",97.0
255,Soli Alberto,Polisportiva Senna,C,2,1,"2,00",79.0
256,Figini Gabriele ,Polisportiva Senna,C,2,2,"1,00",72.0
257,De Gaetano Samuele,Pol. Ars Rovagnate,,2,2,"1,00",
258,Benvenuti,Sportiva Sondrio,,2,2,"1,00",
259,Valsecchi D.,Casa Gioventù Erba,,2,2,"1,00",
260,Castelnuovo,Pol. Ars Rovagnate,,2,3,"0,67",
261,Mazzocchi,Pall. Figino,,2,3,"0,67",
262,Antongini C.,Pall. Como,,2,3,"0,67",
263,Molteni A.,Polisportiva Senna,,2,3,"0,67",
264,Canali,Basket Club Tirano,,2,4,"0,50",
265,Signore,Rhinos Robbiate,,2,4,"0,50",
266,Volontè,ABC Pall. Lomazzo,,2,6,"0,33",
267,Ferraioli,Pall. Figino,,2,7,"0,29",
268,Orsi Giuseppe,Sportiva Sondrio,,1,2,"0,50",
269,Moscatelli Andrea,Pall. Figino,P/G,1,6,"0,17",94.0
