n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,Anno
103,Nani Matteo,Blu Orobica Bergamo,P,143,27,"5,30",97.0
104,Gurioli Gianluca,CSA Agrate Brianza,A,141,16,"8,81",83.0
105,Rossi Matteo,Lic Verolanuova,G,141,25,"5,64",88.0
106,Roversi Massimiliano ,NBB Brescia,A/C,139,25,"5,56",76.0
107,Arosio Daniele,Fortitudo Busnago,C,129,28,"4,61",91.0
108,Sironi Alberto,XXL Bergamo Basket,A,129,28,"4,61",94.0
109,Ubbiali Sergio,Seriana Alzano,P,129,29,"4,45",94.0
110,Galimberti Alessio,Di.Po. Vimercate,G,128,23,"5,57",92.0
111,Simoni Marco,Pall. Asola,G,125,26,"4,81",87.0
112,Milanesi Andrea,Virtus Lumezzane,P,121,29,"4,17",91.0
113,Viola Riccardo,Sansebasket Cremona,P,119,18,"6,61",91.0
114,Calloni Pietro,CSA Agrate Brianza,P/G,119,23,"5,17",88.0
115,Apollonio Luca,Lic Verolanuova,P/G,116,25,"4,64",95.0
116,Piantoni Roberto ,Seriana Alzano,A/C,113,29,"3,90",94.0
117,Budassi Ettore,Sansebasket Cremona,A,112,26,"4,31",96.0
118,Padova Alessandro ,XXL Bergamo Basket,C,110,26,"4,23",81.0
119,Dieye Papa Malick ,Lic Verolanuova,A/C,109,28,"3,89",95.0
120,Brunelli Luca,NBB Brescia,G/A,108,21,"5,14",95.0
121,Motta Davide,CSA Agrate Brianza,G,108,29,"3,72",95.0
122,Dessì Nicholas,Blu Orobica Bergamo,P/G,106,19,"5,58",98.0
123,Rossi Michael,Viadana Basket,G,97,27,"3,59",95.0
124,Bertocchi Mattia,Blu Orobica Bergamo,C,96,29,"3,31",97.0
125,Ghidinelli Simone ,G.S.A. Basket Sarezzo,G/A,94,28,"3,36",94.0
126,Ambrosi Gabriele,NBB Brescia,A,93,16,"5,81",96.0
127,Barcella Manuel ,Romano Lombardo BK,C,92,28,"3,29",82.0
128,Locatelli Alberto ,Bellini Gorle,P,92,29,"3,17",83.0
129,Antoniazzi Manuel ,Sansebasket Cremona,A,91,28,"3,25",94.0
130,Piva Dario,CSA Agrate Brianza,A/C,90,26,"3,46",94.0
131,Ghislandi Thomas,Romano Lombardo BK,A,88,29,"3,03",94.0
132,Farinatti Luca,CSA Agrate Brianza,A,87,12,"7,25",
133,Rossi Federico,CMPi  Pizzighettone,P,86,30,"2,87",95.0
134,Servegnini Stefano,CMPi  Pizzighettone,A/C,82,29,"2,83",95.0
135,Augeri Enrico,Di.Po. Vimercate,P,81,30,"2,70",95.0
136,Scazzola Luca,G.S.A. Basket Sarezzo,A/C,76,21,"3,62",94.0
137,Gori Marcello,Pall. Asola,G/A,76,23,"3,30",87.0
138,Carzaniga Matteo,Di.Po. Vimercate,P,75,7,"10,71",93.0
139,Foschetti Manuel ,Pall. Asola,A/C,71,27,"2,63",91.0
140,Zanlucchi Stefano,XXL Bergamo Basket,A,70,17,"4,12",88.0
141,Franzosi Pietro ,Pall. Asola,G/A,64,25,"2,56",96.0
142,Zanoli Giancarlo ,Lic Verolanuova,G,63,23,"2,74",82.0
143,Campanini Matteo ,Sansebasket Cremona,P/G,62,26,"2,38",94.0
144,Nava Gabriele,Fortitudo Busnago,G,60,17,"3,53",91.0
145,Brunelli Marco,NBB Brescia,G/A,59,18,"3,28",99.0
146,Colpani Alexander,NBB Brescia,G,59,22,"2,68",96.0
147,Corno Michele,Fortitudo Busnago,P/G,58,17,"3,41",82.0
148,Flisi Davide,Viadana Basket,A,58,24,"2,42",87.0
149,De Ruvo Mattia,NBB Brescia,G/A,56,4,"14,00",94.0
150,Maccari Davide,Bellini Gorle,G,55,23,"2,39",94.0
151,Benatti Andrea,Viadana Basket,A,55,26,"2,12",91.0
152,Giardini Leonardo,Di.Po. Vimercate,A/C,51,22,"2,32",95.0
153,Colombo Marco,Blu Orobica Bergamo,P,51,27,"1,89",97.0
154,Asamoah Benjamin ,Virtus Lumezzane,G,48,10,"4,80",94.0
155,Cortinovis Cristian,Seriana Alzano,G,47,17,"2,76",98.0
156,Santambrogio Simone,Di.Po. Vimercate,G,47,27,"1,74",95.0
157,Gerelli Giuseppe Nicola ,Lic Verolanuova,A/C,42,20,"2,10",82.0
158,Viganò Claudio,Di.Po. Vimercate,G,41,3,"13,67",93.0
159,Gomma Alberto,Di.Po. Vimercate,A,39,10,"3,90",95.0
160,Guazzato Davide,Fortitudo Busnago,C,39,19,"2,05",81.0
161,Saletti Stefano,NBB Brescia,A,38,10,"3,80",97.0
162,Tognazzi Davide ,G.S.A. Basket Sarezzo,G,36,25,"1,44",95.0
163,Zucchetti Giovanni ,Bellini Gorle,A,35,30,"1,17",95.0
164,Feroldi Marco,G.S.A. Basket Sarezzo,P,34,22,"1,55",96.0
165,Arosio Filippo,Di.Po. Vimercate,G,33,20,"1,65",96.0
166,Sartori Francesco ,XXL Bergamo Basket,G,32,17,"1,88",94.0
167,Salvini Daniele,CMPi  Pizzighettone,G/A,32,19,"1,68",96.0
168,Capelli Riccardo,XXL Bergamo Basket,P,32,22,"1,45",97.0
169,Mezzanotte Andrea,Blu Orobica Bergamo,A,30,13,"2,31",98.0
170,Catellani Alessandro,Viadana Basket,P,28,7,"4,00",87.0
171,Bellazzi Alessandro ,Romano Lombardo BK,P,26,10,"2,60",93.0
172,Gatti Mattia,CMPi  Pizzighettone,G,25,20,"1,25",96.0
173,Sogni Alessandro,Viadana Basket,P,24,14,"1,71",95.0
174,Monzio Compagnoni L.,XXL Bergamo Basket,G,22,19,"1,16",96.0
175,Arizzi Alessandro ,Seriana Alzano,G,21,18,"1,17",80.0
176,Rovetta Gabriele,Seriana Alzano,G/A,21,18,"1,17",98.0
177,Banfi Davide,Seriana Alzano,A,20,4,"5,00",84.0
178,Gobbi Roberto,G.S.A. Basket Sarezzo,G,20,15,"1,33",96.0
179,Giuri Giovanni,Virtus Lumezzane,C,20,17,"1,18",79.0
180,Caroli,NBB Brescia,,19,2,"9,50",
181,Torreggiani Federico,Viadana Basket,A,19,13,"1,46",84.0
182,Minini Dario,Lic Verolanuova,C,18,11,"1,64",96.0
183,Malgarini Numa,Romano Lombardo BK,C,17,4,"4,25",79.0
184,Minò Andrea,XXL Bergamo Basket,A,16,6,"2,67",93.0
185,Sala Tommaso,Fortitudo Busnago,A,16,8,"2,00",79.0
186,Andreoli Nicola ,Pall. Asola,G,16,17,"0,94",97.0
187,Turelli Matteo,Blu Orobica Bergamo,C,15,5,"3,00",97.0
188,Bertoni Andrea,G.S.A. Basket Sarezzo,A,14,12,"1,17",95.0
189,Borozenets Nikita,CMPi  Pizzighettone,G/A,13,13,"1,00",96.0
190,Antonelli Nicolò,NBB Brescia,,12,11,"1,09",98.0
191,Ponzi Matteo,Viadana Basket,A,12,17,"0,71",96.0
192,Pasini Giulio,NBB Brescia,G,9,7,"1,29",98.0
193,Gadda Alex,Fortitudo Busnago,P,8,8,"1,00",97.0
194,Galati Francesco,Fortitudo Busnago,G,7,8,"0,88",97.0
195,Colombo Andrea,Bellini Gorle,G/A,7,9,"0,78",84.0
196,Savesi,Virtus Lumezzane,,6,5,"1,20",
197,Frigerio Andrea,Sansebasket Cremona,C,6,10,"0,60",96.0
198,Testa Marco,Seriana Alzano,P/G,6,10,"0,60",94.0
199,Nyonse Berthol,NBB Brescia,A,6,11,"0,55",98.0
200,Angeloni Fabio,Bellini Gorle,P,6,20,"0,30",97.0
201,Lui,Pall. Asola,,5,5,"1,00",
202,Ceresera Luca,NBB Brescia,G/A,4,2,"2,00",97.0
203,Farella Mario,Virtus Lumezzane,A,4,5,"0,80",95.0
