n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,Anno
79,Johnson Dwight,Gilbertina Soresina,,184,13,"14,15",
80,Torri Nicola,Tazio Magni Gussola,P,184,27,"6,81",83.0
81,Cerioli Alessandro ,Ombriano Basket,A,182,20,"9,10",76.0
82,Feroldi Luca,MI.GA.L.  Gardonese,G,178,29,"6,14",91.0
83,Yudin Ivan,Virtus Desenzano,A,176,20,"8,80",80.0
84,Galli Daniele,Gilbertina Soresina,C,171,26,"6,58",79.0
85,Manuto Stefano,BK Casalmaggiore,A/C,165,27,"6,11",79.0
86,Freddi Alessandro,Basket Sustinente,P/G,161,23,"7,00",91.0
87,Sabbia Giovanni,Ombriano Basket,A/C,159,19,"8,37",73.0
88,Marinoni Gianluca ,Tazio Magni Gussola,P/G,155,25,"6,20",94.0
89,Scalvini Stefano ,MI.GA.L.  Gardonese,P,155,27,"5,74",76.0
90,Rinaldi Alberto,Basket Ome 01,P/G,153,27,"5,67",84.0
91,Melissourqos Filippos,Tazio Magni Gussola,A,152,24,"6,33",94.0
92,Lezzerini Tommaso,BK Casalmaggiore,P,151,28,"5,39",95.0
93,Marcato Denis,Virtus Desenzano,C,148,25,"5,92",88.0
94,Bassi Nicolò,Pall. Castegnato,P,147,26,"5,65",94.0
95,De Giuseppe Claudio,Pall. Castegnato,A/C,144,17,"8,47",89.0
96,Araldi Gabriele ,San Pio X Mantova,G/A,141,22,"6,41",84.0
97,Merlo Alessandro,BK Casalmaggiore,G,141,24,"5,88",90.0
98,Zani Federico,Pall. Castegnato,A,140,28,"5,00",94.0
99,Acosta Gonzales Geuri,Basket Sustinente,A,138,21,"6,57",82.0
100,Montanari Andrea,San Pio X Mantova,A,135,18,"7,50",85.0
101,Baggio Matteo,Pall. Castegnato,G/A,131,14,"9,36",93.0
102,Avaldi Enrico,Olimpia Basket Castelcovati,A,128,20,"6,40",89.0
103,Benazzi Nicola,Tazio Magni Gussola,C,126,26,"4,85",90.0
104,Bettera Davide,Basket Chiari,P,119,25,"4,76",92.0
105,Rossignoli GianMaria ,Basket Bancole,P,117,21,"5,57",94.0
106,Ferrarini Luca,BK Casalmaggiore,A,117,24,"4,88",83.0
107,Gennari Luca,Pontevico Basket,G,117,27,"4,33",86.0
108,Stanzani Silvio,San Pio X Mantova,,115,16,"7,19",96.0
109,Bernardoni Cristian,Basket Sustinente,P/G,114,30,"3,80",93.0
110,Neviani Renato,BK Casalmaggiore,C,110,25,"4,40",92.0
111,Fraboni Marco,New Basket Prevalle,P,110,30,"3,67",87.0
112,N'guessan Jr Pacome,Pontevico Basket,P/G,109,29,"3,76",88.0
113,Sacchi Francesco ,Basket Bancole,C,108,23,"4,70",87.0
114,Pedretti Andrea ,MI.GA.L.  Gardonese,P,107,28,"3,82",96.0
115,Singh Garandeep,Gilbertina Soresina,G,106,24,"4,42",95.0
116,Diaw Abou Keir Eck Mat,Pall. Castegnato,C,101,14,"7,21",93.0
117,Albertini Michele ,San Pio X Mantova,A,101,21,"4,81",95.0
118,Ceretti Christian,Basket Ome 01,C,100,24,"4,17",77.0
119,Brunelli Alberto,Basket Chiari,A/C,99,19,"5,21",90.0
120,Guindani Michele,Olimpia Basket Castelcovati,P/G,99,29,"3,41",88.0
121,Cabrini Davide,Gilbertina Soresina,A,96,25,"3,84",
122,Caravati Matteo ,Basket Bancole,G,92,30,"3,07",95.0
123,Boarini Andrea,Pall. Castegnato,P,89,15,"5,93",81.0
124,Montanari Andrea,San Pio X Mantova,G,88,11,"8,00",97.0
125,Manziana Matteo,Basket Ome 01,A,87,24,"3,63",97.0
126,Soccetti Daniele,Basket Sustinente,,86,16,"5,38",78.0
127,Abate Alessandro ,New Basket Prevalle,A,86,18,"4,78",86.0
128,Drera Matteo,Basket Ome 01,P,86,20,"4,30",90.0
129,Fornari Lorenzo,Pontevico Basket,P,83,19,"4,37",96.0
130,Beltrami Ermanno,Virtus Desenzano,P,83,21,"3,95",94.0
131,Dominoni Tiziano,Gilbertina Soresina,P,80,13,"6,15",83.0
132,Turina Gabriel,Basket Bancole,C,79,29,"2,72",97.0
133,Boschiroli Davide,Basket Chiari,G,78,15,"5,20",86.0
134,Vaia Davide,Tazio Magni Gussola,A,76,29,"2,62",90.0
135,Marazzi Paolo,Gilbertina Soresina,P/G,74,15,"4,93",88.0
136,Kustodic Nikola,Virtus Desenzano,C,73,17,"4,29",90.0
137,Roversi Dario,New Basket Prevalle,A/C,72,16,"4,50",76.0
138,Bevilacqua Tommaso ,Gilbertina Soresina,G,72,30,"2,40",94.0
139,Totaro Nicola,Ombriano Basket,,70,23,"3,04",86.0
140,Maestri Cristian,Olimpia Basket Castelcovati,G,70,23,"3,04",96.0
141,Terzi Francesco,Olimpia Basket Castelcovati,,68,27,"2,52",83.0
142,Cartapani Matteo,Basket Chiari,C,64,10,"6,40",91.0
143,Facchi Matteo,Basket Chiari,A,64,13,"4,92",90.0
144,Cambarau Luciano,Basket Sustinente,P/G,64,22,"2,91",96.0
145,Zucchet Matteo,Basket Bancole,A,59,24,"2,46",96.0
146,Casalini Roberto,San Pio X Mantova,A,54,22,"2,45",96.0
147,Starrantino Davide,Olimpia Basket Castelcovati,G,52,11,"4,73",94.0
148,Lerro Nicola,Basket Bancole,G,52,12,"4,33",95.0
149,De Benedectis Giuseppe,MI.GA.L.  Gardonese,A,51,16,"3,19",93.0
150,Majorino Vincenzo,Pall. Quistello,C,51,21,"2,43",77.0
151,Mazzetti Stefano ,Basket Chiari,G,51,27,"1,89",96.0
152,Furiosi Alessio,Ombriano Basket,G/A,49,21,"2,33",95.0
153,Bonacina Alberto,Ombriano Basket,A/C,48,3,"16,00",88.0
154,Scieghi Nicolò,MI.GA.L.  Gardonese,G/A,47,25,"1,88",97.0
155,Zapata Joel Nicolas,Pall. Quistello,P,46,28,"1,64",91.0
156,Padovani Fabio,San Pio X Mantova,P,46,29,"1,59",89.0
157,Martinelli Francesco ,Basket Bancole,G,45,19,"2,37",92.0
158,Mazza Emanuele,Virtus Desenzano,G,45,19,"2,37",93.0
159,Abraham Abiel Shoul,Virtus Desenzano,G,44,4,"11,00",90.0
160,Guarnieri Samuele ,Ombriano Basket,G,44,23,"1,91",96.0
161,Parizzi Filippo,BK Casalmaggiore,G,43,26,"1,65",94.0
162,Ceresera Luca,Virtus Desenzano,,42,13,"3,23",97.0
163,Guida Giorgio,Tazio Magni Gussola,P,41,18,"2,28",78.0
164,Mannella Gabriele ,Basket Bancole,P,40,11,"3,64",96.0
165,Longhi Francesco,Tazio Magni Gussola,A,38,12,"3,17",89.0
166,Camisani Filippo,Pontevico Basket,A,38,16,"2,38",91.0
167,Orsatti Paolo,MI.GA.L.  Gardonese,P,37,8,"4,63",89.0
168,Sanzogni Daniele,MI.GA.L.  Gardonese,C,37,11,"3,36",87.0
169,Diana Giuseppe,Basket Bancole,A,37,16,"2,31",78.0
170,Tengattini Francesco,Olimpia Basket Castelcovati,C,37,21,"1,76",94.0
171,Carboni Alessio,Tazio Magni Gussola,P,36,18,"2,00",95.0
172,Lamponi Matteo,Tazio Magni Gussola,G,36,29,"1,24",94.0
173,Olivieri Michele,New Basket Prevalle,C,35,24,"1,46",95.0
174,Gonzales Beltran,Basket Ome 01,A,32,7,"4,57",96.0
175,Conti Andrea,Tazio Magni Gussola,A,31,7,"4,43",74.0
176,Ussi Matteo,Ombriano Basket,A/C,31,10,"3,10",95.0
177,Fratus Andrea,Basket Chiari,A/C,31,11,"2,82",81.0
178,Jovanovich Nikola,Virtus Desenzano,P/G,30,13,"2,31",96.0
179,Belleri Stefano ,MI.GA.L.  Gardonese,P,30,13,"2,31",96.0
180,Purrone Stefano,San Pio X Mantova,P,28,6,"4,67",91.0
181,Fiameni Adriano ,Gilbertina Soresina,G,28,15,"1,87",89.0
182,Cavaggion Matteo,Basket Sustinente,C,27,14,"1,93",94.0
183,Nocivelli Lorenzo,Pontevico Basket,C,26,6,"4,33",88.0
184,Brecciaroli Lorenzo,Basket Sustinente,P,26,12,"2,17",97.0
185,Corbellini Michele,Pontevico Basket,G,26,15,"1,73",96.0
186,Compiani Diego,Basket Ome 01,P,26,23,"1,13",96.0
187,Ferrari Ivan,Basket Sustinente,G,25,16,"1,56",96.0
188,Maistrello Nicolò ,New Basket Prevalle,G,25,22,"1,14",94.0
189,Soliani Francesco,Pall. Quistello,G,25,22,"1,14",96.0
190,Zoran Marinov,Gilbertina Soresina,,24,3,"8,00",
191,Angiolini Tommaso,BK Casalmaggiore,P/G,24,8,"3,00",90.0
192,Pellacani Andrea,Pall. Quistello,C,24,11,"2,18",82.0
193,Marini,Pontevico Basket,C,24,11,"2,18",91.0
194,Da Ros Riccardo ,Pall. Castegnato,C,23,4,"5,75",83.0
195,Prandelli Guido,Olimpia Basket Castelcovati,,22,7,"3,14",93.0
196,Alghisi Andrea,Pontevico Basket,G,19,12,"1,58",94.0
197,Gualtieri Francesco,Virtus Desenzano,P,18,12,"1,50",98.0
198,Radaelli,Gilbertina Soresina,,17,4,"4,25",
199,Zeni Alberto,Gilbertina Soresina,G/A,17,7,"2,43",94.0
200,Lamanna Raffaele ,MI.GA.L.  Gardonese,G,17,8,"2,13",96.0
201,Songne Idi,MI.GA.L.  Gardonese,A,16,3,"5,33",97.0
202,Moretti Lorenzo,San Pio X Mantova,A/C,16,9,"1,78",98.0
203,Cuel Michele,Pontevico Basket,A,16,16,"1,00",96.0
204,Fiozzi Antonio,San Pio X Mantova,G,16,21,"0,76",95.0
205,Ghiretti Leonardo ,Ombriano Basket,A,14,7,"2,00",93.0
206,Iore Marco,Basket Chiari,P,14,7,"2,00",90.0
207,Plodari Aldo,Basket Chiari,C,14,11,"1,27",89.0
208,Zaffanella Marco,BK Casalmaggiore,G,14,18,"0,78",94.0
209,Passanisi Gianluca A.,Ombriano Basket,P,14,23,"0,61",92.0
210,Gobbi Matteo,Pall. Castegnato,G,13,13,"1,00",82.0
211,Segolini Stafano,Pall. Castegnato,G,12,1,"12,00",83.0
212,Martinelli Alfredo,Gilbertina Soresina,A,12,4,"3,00",90.0
213,Poli Fusar Nicola,Gilbertina Soresina,A,12,17,"0,71",95.0
214,Onger Nicholas,Olimpia Basket Castelcovati,A,12,18,"0,67",96.0
215,Bof Alex,Virtus Desenzano,,11,1,"11,00",99.0
216,Mazzola Andrea,Basket Sustinente,,11,3,"3,67",
217,Rivetti Alessio ,Tazio Magni Gussola,G,11,14,"0,79",87.0
218,Rizzi Fabio,Pontevico Basket,G,10,3,"3,33",90.0
219,Zorzi Cristian,Basket Sustinente,C,9,1,"9,00",75.0
220,Padovani Luca,Basket Bancole,,9,19,"0,47",97.0
221,Giangrossi Stefano,Pall. Castegnato,P,8,2,"4,00",81.0
222,Traettino Michele ,Gilbertina Soresina,G,8,2,"4,00",93.0
223,Fogliata Gianluca,Olimpia Basket Castelcovati,,8,3,"2,67",94.0
224,Zaccarin Davide,Basket Bancole,,8,8,"1,00",97.0
225,Mariutto Alberto ,Basket Bancole,,7,10,"0,70",79.0
226,Pulga Gionata,Basket Sustinente,A/C,6,1,"6,00",94.0
227,Steccanella,Basket Bancole,,6,1,"6,00",
228,Moncino,San Pio X Mantova,,6,1,"6,00",
229,Boccardi Daniele,Pall. Castegnato,,6,4,"1,50",98.0
230,Vattaioni Ettore,Gilbertina Soresina,A/C,6,8,"0,75",94.0
231,Guindani Andrea,Basket Ome 01,G,6,8,"0,75",97.0
232,Adorni Elia,Tazio Magni Gussola,P/G,6,8,"0,75",90.0
233,Maestri Luca,Olimpia Basket Castelcovati,G,6,12,"0,50",96.0
234,Sanfelici Giacomo,Basket Sustinente,G/A,5,3,"1,67",97.0
235,Broglia Paolo,Ombriano Basket,P,5,4,"1,25",96.0
236,Benaglia Riccardo,Pall. Quistello,P,5,17,"0,29",96.0
237,Berlanda,Virtus Desenzano,,4,1,"4,00",
238,Vitenko Oleksandr,Gilbertina Soresina,,4,3,"1,33",84.0
239,Moroni,Pall. Castegnato,,4,5,"0,80",
240,Raus Romualdo,New Basket Prevalle,C,4,5,"0,80",94.0
241,Giacomini Andrea,New Basket Prevalle,G,4,17,"0,24",94.0
242,Mitic Aleska,Virtus Desenzano,A,3,1,"3,00",99.0
243,Simoni Silvio,Basket Chiari,,2,1,"2,00",97.0
244,Nizzola Matteo,Basket Sustinente,,2,1,"2,00",
245,Levorato Gabriele,San Pio X Mantova,G,2,2,"1,00",88.0
246,Paderni,Pall. Castegnato,,2,3,"0,67",
247,Pellicciari Luca,Pall. Quistello,G,2,3,"0,67",95.0
248,Crema Simone,Virtus Desenzano,,2,4,"0,50",99.0
249,Libretti Gabriele,Basket Ome 01,C,2,4,"0,50",97.0
250,Lazzaretti Andrea,Pall. Castegnato,,2,5,"0,40",98.0
251,Goldoni Andrea,Pall. Quistello,A,2,5,"0,40",91.0
252,Ghidoni Stefano,San Pio X Mantova,A,2,6,"0,33",78.0
253,Beccagutti Davide,MI.GA.L.  Gardonese,P,2,7,"0,29",97.0
254,Fiorini Luca,Olimpia Basket Castelcovati,,1,1,"1,00",96.0
255,Artioli Federico,Basket Sustinente,,1,2,"0,50",
256,Micheli Gabriele ,Pall. Castegnato,,1,8,"0,13",98.0
