n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,Anno
30,Guerrato Massimo,U.S.S.A. Nova Basket,A/C,315,28,"11,25",81.0
31,Sala Alberto,Team 86 Villasanta,A,303,29,"10,45",92.0
32,Carrara Mattia,Basket Biassono,A,300,30,"10,00",91.0
33,Redaelli Raffaele,Master Carate,,298,29,"10,28",91.0
34,Zanchi Fabio,U.S. S.Pellegrino,A,296,29,"10,21",81.0
35,Losi Luca,Casati Arcore,,296,30,"9,87",
36,Panzera Nicola,BK Cologno Al Serio,C,290,27,"10,74",84.0
37,Novati Marco,U.S.S.A. Nova Basket,P/G,289,25,"11,56",81.0
38,Legoratto Michele,Basket Verdello,G,289,26,"11,12",81.0
39,Lomuscio Alberto,Casati Arcore,P/G,287,28,"10,25",90.0
40,Ricci Simone,Team 86 Villasanta,P,280,29,"9,66",84.0
41,Fall Khadim,Cral Dalmine,G/A,278,28,"9,93",90.0
42,Tronini Luca,Basket Verdello,P,274,30,"9,13",95.0
43,Villa Filippo,Master Carate,,270,29,"9,31",92.0
44,Galbiati Alberto,Master Carate,,265,25,"10,60",92.0
45,Pesavento Marco ,Basket Bellusco,P,256,28,"9,14",94.0
46,Catalfamo Ivan,Forti e Liberi Monza,P/G,246,26,"9,46",95.0
47,Stefanoni Mauro,Basket Verdello,C,240,28,"8,57",79.0
48,Beretta Luigi,Forti e Liberi Monza,A/C,239,26,"9,19",85.0
49,Giussani Giacomo,Scuola BK Treviglio,C,238,28,"8,50",85.0
50,Brambilla M.,Gerardiana Monza,,238,29,"8,21",
51,Arsuffi Marco,BK Cologno Al Serio,A,237,23,"10,30",87.0
52,Brunetti Lorenzo ,C.B.B.A.  Brugherio,P/G,234,27,"8,67",95.0
53,Chies Davide,BK Cologno Al Serio,G,233,25,"9,32",91.0
54,Rigo Riccardo,Basket Bellusco,C,224,30,"7,47",84.0
55,Francioni Massimiliano,Scuola BK Treviglio,A/C,223,24,"9,29",78.0
56,Toffoli Marco,Basket Biassono,PG,221,27,"8,19",91.0
57,Finazzi Andrea,BK Cologno Al Serio,A,219,22,"9,95",92.0
58,Corna Andrea,Cral Dalmine,A,219,27,"8,11",95.0
59,Corna Attilio,BK Cologno Al Serio,C,218,27,"8,07",82.0
60,Zambelli Matteo,U.S. S.Pellegrino,G,217,30,"7,23",91.0
61,Bonanomi Nicolò,Casati Arcore,,215,23,"9,35",
62,Ghisleni Filippo,U.S. S.Pellegrino,C,214,25,"8,56",81.0
63,Di Valentin Matteo,Casati Arcore,,214,29,"7,38",95.0
64,Moretti Denis,Pol. Varedo,A,213,27,"7,89",92.0
65,Mazzanti Enrico,Scuola BK Treviglio,A,211,17,"12,41",95.0
66,Lonati Andrea,U.S.S.A. Nova Basket,A,211,29,"7,28",85.0
67,Gabaldi Mauro,Basket Bellusco,A/C,206,29,"7,10",79.0
68,Magni Andrea,C.B.B.A.  Brugherio,A,205,29,"7,07",92.0
69,Taborelli Lorenzo,Cral Dalmine,C,200,21,"9,52",85.0
70,Dorini Matteo,Azzanese Basket,P,200,29,"6,90",93.0
71,Mandelli Marco,Scuola BK Treviglio,P/G,198,27,"7,33",95.0
72,Rigon Davide,Gerardiana Monza,C,197,26,"7,58",95.0
73,Frassoni Fabio,Basket Biassono,G,197,28,"7,04",86.0
74,Gerosa Ottavio,Azzanese Basket,A,195,26,"7,50",95.0
75,Locatelli Andrea ,Cral Dalmine,G,192,17,"11,29",78.0
76,Verri Paolo,Scuola BK Treviglio,G/A,191,24,"7,96",96.0
77,Colombo A.,Gerardiana Monza,,186,20,"9,30",
78,Daleffe Cristian,Basket Verdello,A,186,29,"6,41",84.0
79,Cervato Stefano ,Basket Biassono,P,180,30,"6,00",85.0
80,Valassina Andrea,Pol. Varedo,A,169,27,"6,26",93.0
81,Macchi Jacopo,Scuola BK Treviglio,G,168,22,"7,64",97.0
82,Molteni Simone,Master Carate,,168,30,"5,60",87.0
83,Gamba Davide,Scuola BK Treviglio,P/G,165,25,"6,60",86.0
84,Chiesura Alessandro,BK Cologno Al Serio,P,165,28,"5,89",92.0
85,Cogliati Lello,Forti e Liberi Monza,A,160,17,"9,41",83.0
86,Alajmo Leonardo ,Basket Bellusco,A,158,24,"6,58",95.0
87,Banfi Giacomo,Basket Bellusco,G,158,28,"5,64",94.0
88,Cortinovis Emilio ,Basket Verdello,A,155,23,"6,74",82.0
89,Castelletti Daniele,Azzanese Basket,G,153,28,"5,46",94.0
90,Milani Pietro,U.S.S.A. Nova Basket,C,147,21,"7,00",86.0
91,Cazzaniga Sergio,Forti e Liberi Monza,G,144,22,"6,55",88.0
92,Valota Davide,Azzanese Basket,P/G,140,23,"6,09",90.0
93,Levati Marco,Gerardiana Monza,P,138,29,"4,76",93.0
94,Pelucchi Tommaso,Gerardiana Monza,C,136,19,"7,16",81.0
95,Tassini Nicola,Forti e Liberi Monza,G/A,134,26,"5,15",80.0
96,Caglio Federico,Pol. Varedo,P,132,14,"9,43",94.0
97,Ravasio Stefano ,Cral Dalmine,G/A,132,30,"4,40",84.0
98,Turani Stefano,U.S. S.Pellegrino,G,131,26,"5,04",91.0
99,Gregorat,C.B.B.A.  Brugherio,,130,8,"16,25",
100,Forneris Andrea,Basket Biassono,A,129,25,"5,16",85.0
101,Tosetti Manuel,U.S.S.A. Nova Basket,,127,19,"6,68",
102,Scaramucci Luca,Azzanese Basket,A/C,123,25,"4,92",86.0
103,Xausa Alessandro,Azzanese Basket,A,122,29,"4,21",94.0
104,Belloni Andrea,Cral Dalmine,G,118,20,"5,90",89.0
105,Carmagnola Andrea ,C.B.B.A.  Brugherio,G,118,27,"4,37",94.0
106,Querzola Michele,Team 86 Villasanta,G,116,17,"6,82",95.0
107,Favalessa Fabio,Team 86 Villasanta,G,115,29,"3,97",91.0
108,Casati Daniele,Team 86 Villasanta,C,115,29,"3,97",94.0
109,Pruni Giorgio,Pol. Varedo,P,113,24,"4,71",91.0
110,Cappelletti Stefano,U.S.S.A. Nova Basket,,112,28,"4,00",85.0
111,Giraldo Marco,Basket Biassono,A/C,111,24,"4,63",
112,Riccardi Luca,Gerardiana Monza,A,111,26,"4,27",90.0
113,Manzoni Fabio,C.B.B.A.  Brugherio,G,110,20,"5,50",96.0
114,Gussoni Edoardo,Master Carate,,110,24,"4,58",95.0
115,Aledjou Moa,Pol. Varedo,A,105,28,"3,75",97.0
116,Dondè Daniele,Gerardiana Monza,P,104,23,"4,52",90.0
117,Andreol Davide,BK Cologno Al Serio,A,102,21,"4,86",92.0
118,Spaggiari Daniele,Basket Biassono,G/A,102,25,"4,08",
119,Lanza Riccardo,Basket Bellusco,A,102,29,"3,52",95.0
120,Rovelli Ambrogio,Gerardiana Monza,C,99,19,"5,21",91.0
121,Colombo G.,Gerardiana Monza,,99,28,"3,54",
122,Gomma A.,Basket Bellusco,,97,13,"7,46",
123,Taormina Simone,Scuola BK Treviglio,A/C,97,23,"4,22",94.0
124,Darwish Omar,Forti e Liberi Monza,A/C,96,7,"13,71",90.0
125,Galli Alberto,Pol. Varedo,G,96,27,"3,56",92.0
126,Borlotti Marco,Azzanese Basket,G/A,93,18,"5,17",89.0
127,Manelli Giuseppe ,Gerardiana Monza,P,90,28,"3,21",86.0
128,Casali Daniele,Basket Verdello,A,86,23,"3,74",86.0
129,Trezzi Andrea,C.B.B.A.  Brugherio,A,84,17,"4,94",81.0
130,Zanchi Matteo,U.S. S.Pellegrino,A,83,22,"3,77",80.0
131,Turatti Federico,Pol. Varedo,G,82,16,"5,13",92.0
132,Bocca Andrea,C.B.B.A.  Brugherio,,73,25,"2,92",
133,Granata Alessandro,Casati Arcore,,71,26,"2,73",94.0
134,Rabaglio Matteo,Scuola BK Treviglio,G,70,13,"5,38",96.0
135,Masoli Marco,Pol. Varedo,C,68,14,"4,86",88.0
136,Cimnaghi Carlo,U.S.S.A. Nova Basket,,66,16,"4,13",83.0
137,Pessina Daniele,Master Carate,,66,19,"3,47",97.0
138,Giavarini Anthony,Basket Verdello,A,65,21,"3,10",93.0
139,Salvi Matteo,Azzanese Basket,G,63,17,"3,71",96.0
140,Favalessa Matteo,Team 86 Villasanta,P,63,25,"2,52",99.0
141,Casati Luca,Basket Biassono,G,62,9,"6,89",93.0
142,Carota Alessandro,U.S.S.A. Nova Basket,A,62,26,"2,38",97.0
143,Beretta Giovanni,Scuola BK Treviglio,G,60,23,"2,61",95.0
144,Lissoni Martino ,Casati Arcore,C,59,28,"2,11",93.0
145,Saini Marco,Team 86 Villasanta,C,57,26,"2,19",95.0
146,Bonfanti Mirco,Cral Dalmine,P,56,29,"1,93",95.0
147,Zanchi Stefano,U.S. S.Pellegrino,C,55,19,"2,89",90.0
148,Santini Simone,Cral Dalmine,P,54,27,"2,00",94.0
149,Riboldi Daniele,Master Carate,,53,20,"2,65",97.0
150,Bellazzi Bellazzi,U.S. S.Pellegrino,G,52,8,"6,50",93.0
151,Stucchi Gianbattista,Cral Dalmine,A,50,20,"2,50",93.0
152,Luciano Roberto,C.B.B.A.  Brugherio,A,49,9,"5,44",85.0
153,Rossetti Roberto,Azzanese Basket,G/A,49,18,"2,72",86.0
154,Begnini Mauro,Basket Verdello,A,48,11,"4,36",79.0
155,Lavizzari Stefano,C.B.B.A.  Brugherio,P,48,13,"3,69",82.0
156,Stucchi Gabriele,Scuola BK Treviglio,G/A,47,7,"6,71",95.0
157,Pessina,Gerardiana Monza,,47,16,"2,94",
158,Eralti,Gerardiana Monza,,45,13,"3,46",
159,Rrasa Erin,BK Cologno Al Serio,P,44,8,"5,50",89.0
160,Oggioni Daniele ,Basket Bellusco,G,44,10,"4,40",87.0
161,Buschi Mattia,Forti e Liberi Monza,P/G,44,22,"2,00",78.0
162,Pozzoni Pietro,Basket Bellusco,G,44,23,"1,91",95.0
163,Massironi,C.B.B.A.  Brugherio,,43,8,"5,38",
164,Ventruto Daniel,U.S.S.A. Nova Basket,C,42,16,"2,63",87.0
165,Olaniè,Master Carate,,42,19,"2,21",
166,Marcolegio Federico,BK Cologno Al Serio,G,41,18,"2,28",94.0
167,Panzeri Giorgio,Basket Biassono,G,40,8,"5,00",94.0
168,Gangi Piero,Basket Biassono,C,40,15,"2,67",87.0
169,Cassanmagnago Daniele,Pol. Varedo,C,40,16,"2,50",89.0
170,Gerbelli Francesco ,Cral Dalmine,P/G,40,19,"2,11",79.0
171,Medolago Claudio,Azzanese Basket,G/A,39,4,"9,75",83.0
172,Brambilla,Team 86 Villasanta,,39,11,"3,55",
173,Secchi Luca,Scuola BK Treviglio,P,38,14,"2,71",78.0
174,Brambilla Lorenzo ,Basket Bellusco,C,38,15,"2,53",89.0
175,Ruzzon Francesco,Basket Biassono,C,38,24,"1,58",95.0
176,Penati Matteo,Casati Arcore,G,37,6,"6,17",93.0
177,Zanchi Alberto,U.S. S.Pellegrino,G/A,37,8,"4,63",79.0
178,Conti Gualtiero,BK Cologno Al Serio,G,36,13,"2,77",88.0
179,Boffi Roberto,Basket Biassono,A/C,35,5,"7,00",83.0
180,Pizzo Andrea,Gerardiana Monza,G,35,5,"7,00",94.0
181,Ruzzon Federico,Master Carate,,35,19,"1,84",
182,Di Stefano Giacomo,Team 86 Villasanta,A,35,20,"1,75",92.0
183,Rota Graziosi,Basket Verdello,A,35,21,"1,67",95.0
184,Verzeroli Marco,Basket Verdello,A,34,11,"3,09",94.0
185,Pirovano Riccardo ,Basket Biassono,P,34,12,"2,83",96.0
186,Durali Andrea,Basket Biassono,A,34,21,"1,62",84.0
187,Facchetti Alessandro,BK Cologno Al Serio,P,33,3,"11,00",76.0
188,Amati Daniele,Basket Biassono,P/G,33,7,"4,71",78.0
189,Bushi,Master Carate,,33,13,"2,54",
190,Soliveri Gerolamo ,Cral Dalmine,G/A,33,14,"2,36",91.0
191,Caspani Davide,Forti e Liberi Monza,A,33,23,"1,43",95.0
192,Fossati Marco,Master Carate,,33,26,"1,27",95.0
193,Menorello Manuel,U.S.S.A. Nova Basket,G/A,32,23,"1,39",95.0
194,Schmidt Alberto,Gerardiana Monza,A,29,11,"2,64",91.0
195,Crippa Alberto,Basket Bellusco,P,29,20,"1,45",90.0
196,Cattaneo,Casati Arcore,,28,10,"2,80",
197,Bua Antonino,Scuola BK Treviglio,C,28,16,"1,75",96.0
198,Grioni Cesare,Scuola BK Treviglio,P/G,26,14,"1,86",97.0
199,Cavallotti Luca,Forti e Liberi Monza,G,25,22,"1,14",86.0
200,Arcangeli Simone,C.B.B.A.  Brugherio,C,24,3,"8,00",82.0
201,Spotti Stefano,Casati Arcore,A/G,24,6,"4,00",87.0
202,Provera,Casati Arcore,,22,18,"1,22",97.0
203,Capelli Michele,U.S. S.Pellegrino,,22,20,"1,10",97.0
204,Daelli Luca,Casati Arcore,,22,23,"0,96",95.0
205,Nozza Oscar,BK Cologno Al Serio,A,20,9,"2,22",83.0
206,Daz Francesco,Scuola BK Treviglio,A/C,20,14,"1,43",97.0
207,Sirtoli Andrea,U.S. S.Pellegrino,G,20,14,"1,43",84.0
208,Pizzo Matteo,Gerardiana Monza,G,19,2,"9,50",90.0
209,Negri Alessandro,C.B.B.A.  Brugherio,G/A,19,3,"6,33",88.0
210,Magnavacca,Casati Arcore,,19,10,"1,90",94.0
211,Casati Edoardo,Master Carate,,19,11,"1,73",82.0
212,Sasso Luca,U.S. S.Pellegrino,P,18,14,"1,29",94.0
213,Oprandi,Azzanese Basket,,16,6,"2,67",
214,Spinelli Matteo,Master Carate,,16,8,"2,00",83.0
215,Belotti Andrea,Basket Verdello,G,16,11,"1,45",91.0
216,Dassi,Pol. Varedo,,15,11,"1,36",
217,Sonzogni Luca,Azzanese Basket,G/A,12,7,"1,71",90.0
218,Fumagalli,Pol. Varedo,,12,12,"1,00",
219,Tadolti Giovanni,Scuola BK Treviglio,G,12,14,"0,86",97.0
220,Dominoni Davide,Azzanese Basket,G,12,15,"0,80",94.0
221,Doneda Dario,U.S.S.A. Nova Basket,G,11,5,"2,20",96.0
222,Begnini Marco,BK Cologno Al Serio,G,11,18,"0,61",96.0
223,De Faveri,U.S.S.A. Nova Basket,,10,3,"3,33",
224,Garlati Alessandro,Gerardiana Monza,A,10,4,"2,50",88.0
225,Lorenzi Richard,Basket Verdello,A,10,5,"2,00",80.0
226,Giacomella Luciano ,C.B.B.A.  Brugherio,A,10,6,"1,67",89.0
227,Pezzotta,Basket Verdello,,10,7,"1,43",
228,Consoli Stefano,BK Cologno Al Serio,G,10,9,"1,11",94.0
229,Sodero,C.B.B.A.  Brugherio,,9,5,"1,80",
230,Mariani Patrick,U.S.S.A. Nova Basket,A,9,7,"1,29",96.0
231,Penco Matteo,U.S. S.Pellegrino,,9,13,"0,69",94.0
232,Andrei Joan,Team 86 Villasanta,A,8,10,"0,80",93.0
233,Facchetti,Basket Verdello,,8,11,"0,73",
234,Giuffrè,Master Carate,,8,12,"0,67",
235,Arnoldi Michele,BK Cologno Al Serio,G,8,15,"0,53",94.0
236,Midali Bruno,Azzanese Basket,A/C,8,17,"0,47",93.0
237,Cassanmagnago Tommaso,Casati Arcore,,8,26,"0,31",95.0
238,Bellina Fabio,Basket Biassono,G,7,2,"3,50",77.0
239,Perna Andrea,Cral Dalmine,P/G,7,2,"3,50",83.0
240,Vitale,C.B.B.A.  Brugherio,,7,3,"2,33",
241,Sabatini Niccolò,Basket Biassono,P,7,5,"1,40",95.0
242,Lupini Alessandro,Cral Dalmine,A,7,9,"0,78",94.0
243,Confolanieri Omar,U.S.S.A. Nova Basket,P,7,11,"0,64",96.0
244,Muratore Jacopo,Casati Arcore,,7,14,"0,50",95.0
245,Cupani Andrea,Basket Bellusco,G,6,8,"0,75",85.0
246,Ghioni Riccardo ,Basket Biassono,P,5,3,"1,67",94.0
247,Fari,U.S.S.A. Nova Basket,,5,4,"1,25",
248,Bertoli Davide,U.S. S.Pellegrino,,5,24,"0,21",97.0
249,Badoni,Scuola BK Treviglio,,4,1,"4,00",
250,Lazzaretti,Basket Verdello,,4,1,"4,00",
251,Pozzi Davide,U.S.S.A. Nova Basket,A,4,2,"2,00",96.0
252,Bassani,Scuola BK Treviglio,,4,2,"2,00",
253,Marzorati,Pol. Varedo,,4,3,"1,33",
254,Popovic Mladen ,Basket Bellusco,G,4,5,"0,80",
255,Rota,Azzanese Basket,,4,8,"0,50",
256,Di Benedetto Francesco,Gerardiana Monza,P,4,12,"0,33",95.0
257,Scuratti Axel,U.S.S.A. Nova Basket,,4,13,"0,31",96.0
258,Belloli Matteo,BK Cologno Al Serio,,3,1,"3,00",
259,Giovannoni,Gerardiana Monza,,3,5,"0,60",
260,Rossi Federico,Azzanese Basket,,3,6,"0,50",90.0
261,Erba,Scuola BK Treviglio,,2,1,"2,00",
262,Piccioli,Scuola BK Treviglio,,2,1,"2,00",
263,Pagliarino,C.B.B.A.  Brugherio,,2,1,"2,00",
264,Passoni,Gerardiana Monza,,2,1,"2,00",
265,Ronchi,Scuola BK Treviglio,,2,2,"1,00",
266,Poli Daniele,Cral Dalmine,P,2,2,"1,00",97.0
267,Scalise,Casati Arcore,,2,3,"0,67",
268,Barzago,C.B.B.A.  Brugherio,,2,10,"0,20",
269,Gallizzi Francesco,U.S. S.Pellegrino,,2,11,"0,18",97.0
270,Foresti,Azzanese Basket,,1,2,"0,50",
271,Iacopetta,C.B.B.A.  Brugherio,,1,3,"0,33",
272,Loiacono,Casati Arcore,,1,4,"0,25",
273,Giardini Francesco ,BK Cologno Al Serio,A,1,4,"0,25",
274,Bertocco Tommaso ,C.B.B.A.  Brugherio,A,1,4,"0,25",91.0
