n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,Anno
161,Ragni Alberto,Pall. Lungavilla,C,47,6,"7,83",90.0
162,Siragusa Stefano,AS Dil Lesmo 2004,G/A,46,27,"1,70",94.0
163,Petrosino Davide,Basketown Milano,G/A,45,9,"5,00",89.0
164,Anzani Federico,Pall.S.Pio Milano,P,45,12,"3,75",94.0
165,Marchini Enrico,Pall. Milano,G,41,6,"6,83",88.0
166,Girelli Alessandro,Ebro Basket Milano,G,40,19,"2,11",97.0
167,Baldissara,Soul Basket Milano,,38,9,"4,22",
168,Manferdelli,Social Osa Milano,,38,24,"1,58",
169,Terzi Luca,Posal Sesto,A,36,6,"6,00",95.0
170,Villa Jacopo,Nuova Pall. Vigevano,A/C,36,10,"3,60",95.0
171,Venezia Luca,CSC BK Cusano,A,35,16,"2,19",97.0
172,Torti Andrea,Pall.S.Pio Milano,P,35,20,"1,75",86.0
173,Benna Stefano,Pall.S.Pio Milano,A,34,18,"1,89",96.0
174,Bozzini Luca,Sant'Ambrogio Milano,P,34,22,"1,55",94.0
175,Di Prenda Matteo,Pall.S.Pio Milano,,32,11,"2,91",95.0
176,Longoni Andrea,Soul Basket Milano,G/A,32,13,"2,46",94.0
177,Alesse Andrea,Pall. Milano,G,30,8,"3,75",83.0
178,Famurewa Steven,N.Olympia Voghera,G,30,23,"1,30",95.0
179,Aversa,Sant'Ambrogio Milano,,29,8,"3,63",
180,Botto Tommaso,Basketown Milano,A,29,15,"1,93",97.0
181,Balicco Mattia,CSC BK Cusano,G,29,16,"1,81",91.0
182,Petracin Andrea,Aironi Pall. Robbio,G,29,21,"1,38",95.0
183,Pasquali Marco,Soul Basket Milano,C,28,14,"2,00",91.0
184,Marinelli Matteo,Pall. Milano,C,26,3,"8,67",84.0
185,Boriani Alessandro,CSC BK Cusano,P,26,14,"1,86",97.0
186,Ottone Paolo,Pall. Milano,P,25,29,"0,86",96.0
187,Bocca Andrea,Nuova Pall. Vigevano,,24,13,"1,85",
188,Zuccon P.,Sant'Ambrogio Milano,,21,6,"3,50",
189,Casiraghi Tommaso,CSC BK Cusano,,20,7,"2,86",
190,Conversano Davide,Pall. Milano,G/A,20,11,"1,82",94.0
191,Scanziani Matteo,Soul Basket Milano,G,19,10,"1,90",96.0
192,Peloso Alessandro,Ebro Basket Milano,A,19,19,"1,00",95.0
193,Bigi Mattia,CSC BK Cusano,A,17,4,"4,25",97.0
194,Deluca Davide,AS Dil Lesmo 2004,A,15,13,"1,15",88.0
195,Minorini,Ebro Basket Milano,,15,15,"1,00",
196,Orsenigo Luca,Nuova Pall. Vigevano,G,15,21,"0,71",96.0
197,Maga Gianluca,Pall. Lungavilla,,14,12,"1,17",
198,Zucca Gianluca,Nuova Pall. Vigevano,A,14,13,"1,08",96.0
199,Cazzaniga Tommaso,CSC BK Cusano,G,13,11,"1,18",97.0
200,Colombo Giorgio ,AS Dil Lesmo 2004,A,13,14,"0,93",92.0
201,Cucchetti,Virtus Gambolò,,12,8,"1,50",
202,Cislaghi Marco,Aironi Pall. Robbio,G,12,13,"0,92",90.0
203,Miotto Gianluca,Sant'Ambrogio Milano,G,11,5,"2,20",95.0
204,Andreossi Davide,Virtus Gambolò,G/A,11,9,"1,22",94.0
205,Valentini,Sant'Ambrogio Milano,,10,4,"2,50",
206,Valota Raffaele,CSC BK Cusano,A,10,7,"1,43",97.0
207,Ripamonti Fabio ,Basketown Milano,A/C,10,8,"1,25",93.0
208,Piccio Christian,Virtus Gambolò,G/A,10,8,"1,25",97.0
209,Clemente Andrea ,Posal Sesto,G/A,10,10,"1,00",95.0
210,Fabiani Tommaso,Posal Sesto,P,10,19,"0,53",95.0
211,Buongiorno Andrea,Pall. Milano,P/G,10,20,"0,50",94.0
212,Ghezzi Matteo,CSC BK Cusano,P/G,9,8,"1,13",97.0
213,Ferraro Aledssandro,Pall.S.Pio Milano,A,9,11,"0,82",96.0
214,Vercesi,Pall. Lungavilla,,8,4,"2,00",
215,Benoliel Lucas,Pall. Milano,A,8,14,"0,57",94.0
216,Maga Lorenzo,Posal Sesto,G,7,5,"1,40",89.0
217,Anton Andrei,CSC BK Cusano,,6,4,"1,50",97.0
218,Minardi Luca,Basketown Milano,A/C,6,6,"1,00",95.0
219,Ferrari Angelo,Virtus Gambolò,P,6,7,"0,86",97.0
220,Pellin Fabrizio ,Posal Sesto,C,6,8,"0,75",94.0
221,Fornaciari,Sant'Ambrogio Milano,,5,1,"5,00",
222,Ghilardi,Basketown Milano,,5,1,"5,00",
223,De Natale,Pall. Milano,,5,2,"2,50",
224,Caretta,Social Osa Milano,,5,4,"1,25",
225,Viscusi Christian,AS Dil Lesmo 2004,P/G,5,5,"1,00",98.0
226,Tisato Alberto,Pall. Lungavilla,P,5,14,"0,36",95.0
227,Vercelli Marco,Pall. Lungavilla,A,5,15,"0,33",83.0
228,Monzani Claudio,Ebro Basket Milano,P,5,16,"0,31",97.0
229,Catania Paolo,Soul Basket Milano,P,4,3,"1,33",93.0
230,De Santis Nicolò,Pall.S.Pio Milano,C,4,4,"1,00",94.0
231,Gaglioti F.,Basketown Milano,,4,4,"1,00",
232,Soldati,Pall. Milano,,3,3,"1,00",
233,Grandi Stefano,CSC BK Cusano,A,3,4,"0,75",97.0
234,Diop,Sant'Ambrogio Milano,,3,4,"0,75",
235,Marchese Alberto,Nuova Pall. Vigevano,G/A,3,9,"0,33",97.0
236,Turini Alberto,N.Olympia Voghera,G,3,12,"0,25",96.0
237,Terzi,Libertas Cernusco,,2,1,"2,00",
238,Mejri,Sant'Ambrogio Milano,,2,1,"2,00",
239,Cao Kevin,Pall.S.Pio Milano,G,2,2,"1,00",98.0
240,Bega,Social Osa Milano,,2,2,"1,00",
241,Vignati Andrea,Pall.S.Pio Milano,G,2,6,"0,33",96.0
242,Drudi Samuele,N.Olympia Voghera,P,1,4,"0,25",79.0
